date_missing,price_build,quarter block,mean_Q,date_base,Reference curve
01/03/2021,52.15,2021.2,51.05,01/03/2021,63.55
01/04/2021,51.4,2021.3,50.95,01/04/2021,63.3
01/05/2021,,2021.4,51.6,01/05/2021,63.35
01/06/2021,,2022.1,51.5,01/06/2021,63.25
01/07/2021,,,,01/07/2021,63.8
01/08/2021,,,,01/08/2021,64.1
01/09/2021,,,,01/09/2021,64.55
01/10/2021,,,,01/10/2021,65.35
01/11/2021,,,,01/11/2021,65.6
01/12/2021,,,,01/12/2021,65.85
01/01/2022,,,,01/01/2022,65.85
01/02/2022,,,,01/02/2022,65.8
01/03/2022,,,,01/03/2022,65.7
01/04/2022,,,,01/04/2022,65.65
01/05/2022,,,,01/05/2022,65.6
01/06/2022,,,,01/06/2022,65.4
01/07/2022,,,,01/07/2022,64.9
01/08/2022,,,,01/08/2022,64.8
01/09/2022,,,,01/09/2022,64.9
01/10/2022,,,,01/10/2022,65
01/11/2022,,,,01/11/2022,65.05
01/12/2022,,,,01/12/2022,64.9
01/01/2023,,,,01/01/2023,64.35
01/02/2023,,,,01/02/2023,64.15
01/03/2023,,,,01/03/2023,64
01/04/2023,,,,01/04/2023,63.85
01/05/2023,,,,01/05/2023,63.8
01/06/2023,,,,01/06/2023,63.8
01/07/2023,,,,01/07/2023,63.9
01/08/2023,,,,01/08/2023,64
01/09/2023,,,,01/09/2023,64.1
01/10/2023,,,,01/10/2023,64.15
01/11/2023,,,,01/11/2023,64.25
01/12/2023,,,,01/12/2023,64.25
01/01/2024,,,,01/01/2024,64.2
01/02/2024,,,,01/02/2024,64.15
01/03/2024,,,,01/03/2024,64
01/04/2024,,,,01/04/2024,63.85
01/05/2024,,,,01/05/2024,63.8
01/06/2024,,,,01/06/2024,63.8
01/07/2024,,,,01/07/2024,63.9
01/08/2024,,,,01/08/2024,64
01/09/2024,,,,01/09/2024,64.05
01/10/2024,,,,01/10/2024,64.1
01/11/2024,,,,01/11/2024,64.2
01/12/2024,,,,01/12/2024,64.6
01/01/2025,,,,01/01/2025,65.45
01/02/2025,,,,01/02/2025,65.65
01/03/2025,,,,01/03/2025,65.55
01/04/2025,,,,01/04/2025,65.35
01/05/2025,,,,01/05/2025,65.25
01/06/2025,,,,01/06/2025,65.3